chunk_id,chunk_category,chunk_text
1,고혈압,"주제: 고혈압\n 내용: 고혈압이란?
수축기 혈압: 심장이 수축하여 혈액을 내보낼 때 혈관이 받는 압력. 이완기 혈압: 혈액이 심장으로 들어올 때 혈관에 미치는 압력. 이완기 혈압 혈액이 심장으로 들어올 때 혈관에 미치는 압력. 혈압, 심장은 우리 몸에 산소와 영양소를 공급하기 위하여 분당 60~100회 정도 수축과 이완(확장)을 반복 합니다. 이렇게 심장은 펌프처럼 혈액을 몸 구석구석까지 보내는데, 이때 혈액이 혈관 벽에 가하는 힘이 혈압입니다. 즉, 혈압은 혈관 내 압력을 수치로 나타낸 것입니다. 수축기 혈압 심장이 수축하여 혈액을 심장 밖 혈관으로 밀어낼 때의 압력을 수축기(최고) 혈압이라고 합니다. 이완기 혈압 심장이 확장할 때 혈관에서 유지되는 압력을 이완기(최저) 혈압이라고 합니다. 고혈압 혈압이 지속적으로 정상 기준보다 높을 때를 고혈압이라고 합니다. 백의 고혈압 백의 고혈압은 병원 고혈압 혹은 병원 단독 고혈압이라고도 하며, 일상생활에서는 혈압이 정상인데 반해 의료 환경에만 들어오면 혈압이 상승하는 것을 말합니다. 환자들은 진료실에 들어와서 혈압을 측 정할 때 긴장하게 되는데 그 정도가 지나칠 경우 발생합니다."
2,고혈압,"주제: 고혈압\n 내용: 우리나라 고혈압 환자 비율 개요. 우리나라 30세 이상 성인 중 약 3명 중 1명은 고혈압 환자입니다. 고혈압은 나이가 들수록 유병률이 증가하는 경향을 보이며, 특히 60세 이상부터 급격히 증가합니다. 젊은 시절 혈압이 정상이더라도 고령이 되면 고혈압이 발생할 수 있습니다."
3,고혈압,"주제: 고혈압\n 내용: 연령대별 고혈압 유병률 통계 (2013년 기준)
2013년 기준 우리나라 고혈압 유병률은 다음과 같습니다:
- 30~39세: 9.7%
- 40~49세: 19.5%
- 50~59세: 35.9%
- 60~69세: 48.7%
- 70세 이상: 62.3%
연령이 증가할수록 고혈압 유병률이 현저하게 상승하는 양상을 보입니다."
4,고혈압,"주제: 고혈압\n 내용: 고령층의 혈압 변화 특성 및 위험성. 60세 이상이 되면 혈관의 노화로 인해 수축기 혈압은 계속 증가하는 반면, 이완기 혈압은 오히려 감소하는 경향이 있습니다. 이로 인해 심혈관계 부담과 합병증 위험은 더욱 높아지게 됩니다. 따라서 수축기 혈압만 정상 범위여도 방심해서는 안 됩니다."
5,고혈압,"주제: 고혈압\n 내용: 연령에 따른 수축기/이완기 혈압 분포 (남녀 비교 포함). 연령대가 높아질수록 남녀 모두 수축기 혈압이 꾸준히 상승합니다. 이완기 혈압은 60대 이후부터 감소하기 시작하며, 이는 남성과 여성 모두에게 나타나는 현상입니다. 그래프 상에서도 수축기 혈압은 70대 이상에서 140mmHg 근처까지 상승하며, 이완기 혈압은 70대에 이르면 70mmHg 이하로 떨어집니다."
6,고혈압,"주제: 고혈압\n 내용: 고혈압의 분류: 본태성 고혈압. 고혈압 환자의 약 95%는 뚜렷한 원인이 없는 본태성 고혈압에 해당합니다. 이 유형은 나이, 가족력과 같은 조절할 수 없는 요인과, 식습관이나 운동 부족 같은 조절 가능한 생활습관 요인이 모두 영향을 줍니다. 명확한 기저 질환 없이 발생하며, 유전적 소인과 환경적 요인의 복합 작용으로 설명됩니다."
7,고혈압,"주제: 고혈압\n 내용: 고혈압의 분류: 이차성 고혈압. 이차성 고혈압은 신장질환이나 내분비 이상 등 특정 질환으로 인해 발생하는 고혈압을 말합니다. 원인을 제거하거나 조절하면 혈압도 호전되므로, 조기 진단과 치료가 중요합니다. 일반적으로 수술이나 약물로 치료가 가능한 경우가 많아, 젊은 나이에서 발견된 고혈압일 경우 반드시 원인 질환을 감별해야 합니다."
8,고혈압,"주제: 고혈압\n 내용: 고혈압의 주요 위험 요인 – 인구학적 및 유전적 요인. 성별: 남성이 여성보다 고혈압 위험이 높음. 연령: 남성은 55세 이상, 여성은 65세 이상부터 위험 증가. 가족력: 부모·형제·자매 중 고혈압 병력이 있을 경우 특히 주의 필요. 특히 가족력이 있는 경우 젊은 나이에도 조기 진단이 필요합니다."
9,고혈압,"주제: 고혈압\n 내용: 고혈압의 정의 및 정상혈압 기준. 고혈압은 수축기 혈압이 140mmHg 이상 또는 이완기 혈압이 90mmHg 이상일 때로 정의됩니다. 정상혈압은 수축기 < 120mmHg, 이완기 < 80mmHg일 때이며, 이는 심혈관 질환 발생 위험이 가장 낮은 이상적인 혈압입니다. 고혈압 전단계는 향후 고혈압으로 발전할 가능성이 높으므로, 이 시기부터 적극적인 예방이 중요합니다."
10,고혈압,"주제: 고혈압\n 내용: 고혈압의 진단 분류 기준표 (수축기 / 이완기 혈압). 
정상혈압: 수축기 < 120, 그리고 이완기 < 80.
고혈압 전단계 1기: 수축기 120–129 또는 이완기 80–84. 
고혈압 전단계 2기: 수축기 130–139 또는 이완기 85–89. 
고혈압 1기: 수축기 140–159 또는 이완기 90–99. 
고혈압 2기: 수축기 ≥160 또는 이완기 ≥100. 
수축기 단독 고혈압: 수축기 ≥140, 이완기 < 90.
이 기준은 2013년 대한고혈압학회 진료지침에 따름"
