id,category,info
1,고혈압,고혈압은 우리 몸의 '보이지 않는 범인'이에요 – 혈관에 지속적인 부담을 주거든요.
2,고혈압,"수축기 혈압은 심장이 쿵! 하고 뛸 때, 이완기 혈압은 잠깐 쉴 때의 압력을 말해요."
3,고혈압,"정상 혈압은 수축기 120mmHg 미만, 이완기 80mmHg 미만으로 정의돼요."
4,고혈압,고혈압은 증상이 없어서 ‘침묵의 살인자’라고도 불리죠.
5,고혈압,"나이가 들수록 고혈압 발생 위험이 커지니, 60대 이후엔 특히 주의해야 해요."
6,고혈압,"남성은 55세 이후, 여성은 65세 이후부터 고혈압 위험이 증가해요."
7,고혈압,가족력이 있으면 더욱 조심! 조기 검진이 큰 도움이 된답니다.
8,고혈압,비만과 복부비만은 고혈압의 중요한 위험 인자예요.
9,고혈압,"소금 섭취가 많으면 혈압이 올라갈 수 있으니, 가능한 한 싱겁게 먹어보세요."
10,고혈압,꾸준한 혈압 측정으로 내 몸의 상태를 정기적으로 체크해야 해요.
11,고혈압,스트레스 관리도 혈압 안정에 큰 역할을 한답니다.
12,고혈압,매일 30분 정도의 걷기나 자전거 타기 같은 유산소 운동을 추천해요.
13,고혈압,"운동은 혈관 건강과 혈압 조절에 효과적이니까, 즐겁게 시작해 보세요!"
14,고혈압,고혈압은 단기간에 치료되는 게 아니라 평생 관리가 필요해요.
15,고혈압,혈압약은 꾸준히 복용해야 효과를 볼 수 있어요.
16,고혈압,외식할 땐 저염 메뉴를 선택하는 습관을 들여보세요.
17,고혈압,"건강한 식단(채소, 과일 중심)은 혈압 관리에 큰 도움이 돼요."
18,고혈압,규칙적인 생활 패턴과 충분한 수면도 혈압을 낮추는 데 중요해요.
19,고혈압,흡연은 혈관에 나쁜 영향을 주므로 금연을 실천하세요.
20,고혈압,과음 역시 혈압을 높일 수 있으니 절주가 필요해요.
21,고혈압,체중 감량은 혈압 개선에 직접적인 효과를 줘요.
22,고혈압,"혈압은 우리 몸의 '경고등'이니, 조금이라도 이상하면 전문가 상담을 받아보세요."
23,고혈압,‘싱겁게 먹기’는 단순한 유행이 아니라 과학적으로 증명된 방법이에요.
24,고혈압,운동 전후의 준비 운동과 정리 운동도 꼭 기억하세요.
25,고혈압,"혈압은 하루의 기분처럼 변할 수 있으니, 매일 체크하는 습관을 가지세요."
26,고혈압,꾸준한 건강 관리로 혈관을 튼튼하게 만들어 주세요.
27,고혈압,혈압 관리에는 단기적인 변화보다 장기적인 습관이 중요해요.
28,고혈압,건강검진 기록을 통해 내 혈압 추이를 쉽게 파악할 수 있어요.
29,고혈압,고혈압 관리의 핵심은 생활습관 개선에 있어요.
30,고혈압,건강한 생활이야말로 고혈압과 싸울 때 최고의 무기가 된답니다!
31,당뇨,당뇨병은 인슐린이 부족하거나 제대로 작동하지 않을 때 발생해요.
32,당뇨,인슐린은 우리 몸이 음식 속 포도당을 에너지로 바꾸는 데 꼭 필요한 호르몬이에요.
33,당뇨,당뇨는 초기에는 특별한 증상이 없어 '숨은 적'이라고도 불려요.
34,당뇨,잦은 갈증과 잦은 소변은 당뇨의 초기 신호일 수 있어요.
35,당뇨,규칙적인 혈당 체크는 당뇨 관리의 시작이에요.
36,당뇨,당화혈색소(HbA1c)는 최근 몇 개월 간의 평균 혈당을 알려준답니다.
