번호,국가,물질명,한국식품유형,식품유형,함량정보,combined_text
43785,미국,white mineral oil,그 외 분류,"(과자 용도를 제외하고) 식품 첨가를 위해, 향료, 향신료, 양념 및 영양제를 함유하는 정제 및 캡슐","[활탁제, 결합제 및 윤활제] 캡슐 또는 정제의 0.6%를 초과할 수 없음","white mineral oil [활탁제, 결합제 및 윤활제] 캡슐 또는 정제의 0.6%를 초과할 수 없음"
43784,미국,mica-based pearlescent pigments,소주,18% 이상 25% 이하의 알코올을 함유한 증류주,중량 0.07% 이하,mica-based pearlescent pigments 중량 0.07% 이하
43783,미국,mica-based pearlescent pigments,위스키,18% 이상 25% 이하의 알코올을 함유한 증류주,중량 0.07% 이하,mica-based pearlescent pigments 중량 0.07% 이하
43782,미국,mica-based pearlescent pigments,브랜디,18% 이상 25% 이하의 알코올을 함유한 증류주,중량 0.07% 이하,mica-based pearlescent pigments 중량 0.07% 이하
43781,미국,mica-based pearlescent pigments,일반증류주,18% 이상 25% 이하의 알코올을 함유한 증류주,중량 0.07% 이하,mica-based pearlescent pigments 중량 0.07% 이하
43780,미국,mica-based pearlescent pigments,리큐르,18% 이상 25% 이하의 알코올을 함유한 증류주,중량 0.07% 이하,mica-based pearlescent pigments 중량 0.07% 이하
43779,미국,mica-based pearlescent pigments,기타 주류,18% 이상 25% 이하의 알코올을 함유한 증류주,중량 0.07% 이하,mica-based pearlescent pigments 중량 0.07% 이하
43778,미국,vitamin D2 mushroom powder,과일·채소류음료,240mL당 칼슘 100mg 이상 함유된 과일주스 음료(유아용으로 특수 조제하거나 가공한 과일주스 음료는 제외),100 IU/240 mL,vitamin D2 mushroom powder 100 IU/240 mL
43777,미국,vitamin D2 mushroom powder,과일·채소류음료,240mL당 칼슘 330mg 이상 함유된 100% 과일주스(유아용으로 특수 조제하거나 가공한 과일주스 음료는 제외),100 IU/240 mL,vitamin D2 mushroom powder 100 IU/240 mL
43776,미국,vitamin D3,과일·채소류음료,"240mL당 칼슘 일일섭취량(RDI)의 33% 이상 함유된 100% 과일주스(170.3(n)(35)에 정의, 유아용으로 특수 조제하거나 가공한 과일주스 음료는 제외)",240mL당 100IU 초과하지 않도록,vitamin D3 240mL당 100IU 초과하지 않도록
43775,미국,vitamin D3,과일·채소류음료,"240mL당 칼슘 일일섭취량의 10% 이상 함유된 과일주스 음료(섹션 170.3(n)(35)에 정의, 유아용으로 특수 조제하거나 가공한 과일주스 음료는 제외)",240mL당 100IU 초과하지 않도록,vitamin D3 240mL당 100IU 초과하지 않도록
43774,미국,"calcium-sodium ethylenediaminetetraacetate (calcium sodium EDTA, EDTA CaNa)",기타 농산가공품류,가공 건조 강낭콩,[색상 유지 촉진] 800ppm 이하,"calcium-sodium ethylenediaminetetraacetate (calcium sodium EDTA, EDTA CaNa) [색상 유지 촉진] 800ppm 이하"
43773,미국,sodium stearyl fumarate,시리얼류,가공 시리얼,[조절제(conditioning agent)] 중량 1%를 초과하지 않는 양,sodium stearyl fumarate [조절제(conditioning agent)] 중량 1%를 초과하지 않는 양
43772,미국,guar gum,과일·채소류음료,가공 채소주스,"(GRAS: [유화제, 유화제염, 응고제, 조성보조제, 안정제, 증점제] 2.0% 이하)","guar gum (GRAS: [유화제, 유화제염, 응고제, 조성보조제, 안정제, 증점제] 2.0% 이하)"
43771,미국,calcium chloride,과일·채소류음료,가공과일 및 과일주스,"(GRAS: [고결방지제, 보존료, 응고제, 보존 및 절임제, 응고제, 향미증진제, 습윤제, 영양강화제, 산도조절제, 가공보조제, 안정제, 증점제, 계면활성제, 상승제, 텍스처라이저] 0.2% 이하, GMP에 따라 사용)","calcium chloride (GRAS: [고결방지제, 보존료, 응고제, 보존 및 절임제, 응고제, 향미증진제, 습윤제, 영양강화제, 산도조절제, 가공보조제, 안정제, 증점제, 계면활성제, 상승제, 텍스처라이저] 0.2% 이하, GMP에 따라 사용)"
43770,미국,carnauba wax,과일·채소류음료,가공과일 및 과일주스,"(GRAS: [고결방지제, 조성보조제, 윤활제, 이형제, 표면처리제] GMP에 따라 사용)","carnauba wax (GRAS: [고결방지제, 조성보조제, 윤활제, 이형제, 표면처리제] GMP에 따라 사용)"
43769,미국,β-carotene,과일·채소류음료,가공과일 및 과일주스,(GRAS: [영양강화제] GMP에 따라 사용),β-carotene (GRAS: [영양강화제] GMP에 따라 사용)
43768,미국,gum tragacanth,과일·채소류음료,가공과일 및 과일주스,"(GRAS: [유화제, 유화제염, 조성보조제, 안정제, 증점제] 0.2% 이하)","gum tragacanth (GRAS: [유화제, 유화제염, 조성보조제, 안정제, 증점제] 0.2% 이하)"
