"도서관 일련번호","도서관명","구 코드","구명","주소","전화번호","홈페이지 URL","운영시간","정기 휴관일","도서관 구분","도서관 구분명","위도","경도"
"1935","강남구립못골도서관","0008","강남구","서울특별시 강남구 자곡로 116","02-459-5522","http://library.gangnam.go.kr/mglib","평일 : 09:00~22:00, 주말 : 09:00~22:00","매주 화요일 및 법정공휴일","0001","공공도서관","37.47153836","127.096582"
"1066","강남역삼푸른솔도서관","0008","강남구","서울특별시 강남구 테헤란로8길 36. 4층","02-2051-1178","https://library.gangnam.go.kr/ysplib/index.do","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.4964968","127.0320274"
"2815","개포하늘꿈도서관","0008","강남구","서울특별시 강남구 개포로 110길 54","02-451-1511","https://library.gangnam.go.kr/hnkklib/","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 화요일 및 법정공휴일","0001","공공도서관","37.4906692944468","127.080356908422"
"48","논현도서관","0008","강남구","서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층","02-3443-7650","https://library.gangnam.go.kr/nhlib","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 화요일 및 법정공휴일","0001","공공도서관","37.5172779092976","127.037187913597"
"2843","논현문화마루도서관","0008","강남구","서울특별시 강남구 논현로131길 40, 4~5층","02-512-8580","https://library.gangnam.go.kr/nmmlib","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.51384422","127.02710693"
"49","대치도서관","0008","강남구","서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호","02-565-6666","https://library.gangnam.go.kr/dchlib/index.do","평일 : 09:00~21:00. 주말 : 09:00~17:00 ","매주 화요일 및 법정공휴일","0001","공공도서관","37.4996157705058","127.065915414443"
"1402","도곡정보문화도서관","0008","강남구","서울특별시 강남구 도곡로18길 57","1644-3227","https://library.gangnam.go.kr/dogoklib","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.4883101","127.0388803"
"2133","못골한옥어린이도서관","0008","강남구","서울특별시 강남구 자곡로7길 3?","02-2226-5930","https://library.gangnam.go.kr/hchildlib/index.do","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.4733061524019","127.099727862691"
"21","서울특별시교육청강남도서관","0008","강남구","서울특별시 강남구 선릉로116길 45","02-3448-4741~5","https://gnlib.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","1,3주 수요일 및 법정공휴일","0001","공공도서관","37.51368143","127.0468374"
"22","서울특별시교육청개포도서관","0008","강남구","서울특별시 강남구 선릉로4길 30","02-3460-8200","https://gplib.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","2,4주 목요일 및 법정공휴일","0001","공공도서관","37.48308019","127.063867"
