"기관ID","주소","병원분류","병원분류명","응급의료기관코드","응급의료기관코드명","응급실운영여부","비고","기관설명상세","간이약도","기관명","대표전화1","응급실전화","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업시간"
"A1100011","서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)","A","종합병원","G006","지역응급의료센터","1","휴게시간 13:00~14:00","저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음)","샛강역 3번 출구","가톨릭대학교 여의도성모병원","02-1661-7575","02-3779-1188","1700","1700","1700","1700","1700","1200","1600","1400","0900","0900","0900","0900","0900","0900","1000","0930","073","45","126.93673129599131","37.51827233800711","2025-04-07 15:14:41.0"
"A1121013","서울특별시 은평구 통일로 1021 (진관동)","A","종합병원","G006","지역응급의료센터","1","휴게시간 13:00~14:00","저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음)","샛강역 3번 출구","가톨릭대학교은평성모병원","02-1811-7755","02-1811-7755","1700","1700","1700","1700","1700","1200","1600","1400","0830","0830","0830","0830","0830","0830","1000","0930","033","12","126.91615048739686","37.633608409726854","2025-04-07 15:14:41.0"
"A1100047","서울특별시 관악구 관악로 242 (봉천동)","B","병원","G009","응급실운영신고기관","1","응급실진료 07:00-24:00 08/15 광복절 휴무","화요일 야간진료 예약시 21시까지","서울대입구역 7번 출구 도보 5분","강남고려병원","1661-8267","02-874-7227","1800","1800","1800","1800","1800","1300","1600","1730","0900","0900","0900","0900","0900","0900","1000","0900","087","35","126.956781703053","37.4856188363947","2025-04-07 15:14:41.0"
"A1123234","서울특별시 강남구 선릉로 404, 더드림병원 (대치동)","B","병원","G009","응급실운영신고기관","1","응급실 00:00-24:00","화요일 야간진료 예약시 21시까지","한티역 1번출구 3분거리","강남더드림병원","02-1661-1177","070-4676-5002","1800","1800","1800","1800","1800","1300","1700","1730","0900","0900","0900","0900","0900","0900","1100","0900","061","98","127.050967336445","37.5009902618151","2025-04-07 15:14:41.0"
"A1100141","서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)","A","종합병원","G009","응급실운영신고기관","1","외래 진료 운영시간 이외에는 응급의학과 전문의 근무","24시간 응급실 운영 응급의학과 정형외과(사지골절) 신경외과(뇌척추 수술) 내과(소화기, 순환기) 비뇨기과(요로결석, 전립선비대증) 산부인과 심장내과(심혈관 질환, 흉통) 신장내과(투석) 신경중재의학과(뇌혈관질환, 혈관색전술) 일반외과(갑상선) 영상의학과(CT, MRI) 준중환자실 8병상운영","양재역 4번 출구 도보 5분 거리","강남베드로병원","1544-7522","1544-7522","2359","2359","2359","2359","2359","2359","2359","2359","0000","0000","0000","0000","0000","0000","0000","0000","062","71","127.0395873429168","37.485612179925724","2025-04-07 15:14:41.0"
"A1100076","서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)","B","병원","G009","응급실운영신고기관","1","24시간 응급실 운영 내과/검진센터 2, 4주 토요일 휴진","관악구 봉천동 187병상 투석 가능한 요양병원입니다.","2호선 신대방역/난곡사거리 인근","강남힐병원","02-853-4600","02-853-9100","1800","1800","1800","1800","1800","1300","1600","1600","0900","0900","0900","0900","0900","0900","0900","0900","087","67","126.911648078471","37.4816513439454","2025-04-07 15:14:42.0"
"A1100043","서울특별시 강동구 동남로 892 (상일동)","A","종합병원","G001","권역응급의료센터","1","점심시간 13:00~14:00","관악구 봉천동 187병상 투석 가능한 요양병원입니다.","고덕역 4번 출구","강동경희대학교의대병원","02-440-7114","02-440-7000","1730","1730","1730","1730","1730","1200","1600","1600","0830","0830","0830","0830","0830","0830","0900","0900","052","78","127.157084787845","37.5520459324005","2025-04-07 15:14:42.0"
"A1100006","서울특별시 종로구 새문안로 29 (평동)","A","종합병원","G006","지역응급의료센터","1","휴게시간 13:00~14:00","일요일 및 공휴일 진료 개시, 강북구 소재, 수면다원검사, 어지럼증, 귀코목진료, 청각장애진단, 보청기, 양압기 대여, 이비인후과 6인의 의료진","서대문역 4번 출구","강북삼성병원","02-2001-2001","02-2001-1000","1700","1700","1700","1700","1700","1230","1300","1300","0830","0830","0830","0830","0830","0830","0900","0900","031","81","126.96793805451702","37.568497631233825","2025-04-07 15:14:42.0"
"A1121842","서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)","B","병원","G009","응급실운영신고기관","1","점심시간 오후1시~2시 365일 24시간 응급실 운영","24시간 진료 정형외과 수술가능(골절, 수지접합등)","답십리 사거리와 전농동 사거리 사이","강북으뜸병원","02-986-0334","02-986-0334","2000","1800","1800","2000","1800","1300","1500","1500","0900","0900","0900","0900","0900","0900","0800","0800","011","70","127.026184524499","37.6254205559935","2025-04-07 15:14:42.0"
"A1117285","서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)","B","병원","G009","응급실운영신고기관","1","응급의료기관 외의 의료기관(응급의료시설)  응급실 운영 - 골절, 외상, 척추, 관절 질환 24시간 365일 응급 진료 및 수술","강서케이병원은 응급의료기관 외의 의료기관(응급의료시설)으로 24시간 365일 응급실 운영. 야간, 공휴일에도 골절, 외상, 관절, 척추 질환의 응급 진료 및 수술이 가능합니다.  골절, 외상, 관절, 척추 질환을 전문으로 하며  3.0T MRI, 1.5T MRI, CT, X-ray, 초음파 등 전문 진단 장비를 갖추고 있습니다.","화곡역 6번 출구, 가로공원 사거리","강서케이병원","02-1833-7530","02-6905-8585","1800","1800","1800","1800","1800","1300","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","077","18","126.836699017573","37.5373576230977","2025-04-07 15:14:42.0"
"A1100002","서울특별시 광진구 능동로 120-1 (화양동)","A","종합병원","G006","지역응급의료센터","1","점심시간:13~14시","건강제일의료소비자생활협동조합","건대입구역 3,4번 출구","건국대학교병원","1588-1533","02-2030-5555","1730","1730","1730","1730","1730","1230","1400","1400","0830","0830","0830","0830","0830","0830","1000","1000","050","30","127.0721229093036","37.54084479467721","2025-04-07 15:14:42.0"
"A1100039","서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)","A","종합병원","G007","지역응급의료기관","1","응급의료센터 - 24시간 진료","보건복지부 지정 추나요법 시범사업기관입니다. 침, 한약, 추나, 면역약침등의 한의학적 치료방법을 이용하여 환자의 질병상태들 진단하고 치료합니다.","경찰병원역 1,2번 출구","경찰병원","02-3400-1114","02-3400-1300","1730","1730","1730","1730","1730","1230","1600","1600","0900","0900","0900","0900","0900","0900","0930","0930","057","15","127.12348793503201","37.496413213560785","2025-04-07 15:14:42.0"
"A1100001","서울특별시 동대문구 경희대로 23 (회기동)","A","종합병원","G006","지역응급의료센터","1","10/1 (화) 임시공휴일, 10/3 (목) 개천절 : 09:30-13:00","서울대입구역 2번 출구 100 미터 이내입니다 . 지하2층에 주차장 있읍니다 .","영등포역 4번출구 파리바게트 건물","경희대학교병원","02-958-8114","02-958-8114","1730","1730","1730","1730","1730","1230","1800","1500","0830","0830","0830","0830","0830","0900","0900","1000","024","47","127.05183223390303","37.5938765502235","2025-04-07 15:14:42.0"
