시설명,조사년도,경도(EPSG4326),위도(EPSG4326),좌안(L) 우안(R)
한강 간이체육시설 31,2020,126.9257424,37.54433641,R
한강 축구장 4,2020,127.0200276,37.54089983,R
한강 자전거보관소 1,2020,126.9255896,37.54437348,R
한강 경사로 20,2020,126.9271825,37.54422243,R
한강 농구장 6,2020,127.0203731,37.5414275,R
한강 간이체육시설 32,2020,127.0200029,37.54133154,R
한강 구명환 2,2020,126.9255743,37.54425838,R
한강 화장실 36,2020,127.0197733,37.54111788,R
한강 간이체육시설 33,2020,127.0197108,37.54066731,R
한강 야외공연장 5,2020,126.8944535,37.55615395,R
한강 간이체육시설 20,2020,126.9075797,37.54623076,R
한강 계단 38,2020,126.9077795,37.546128,R
한강 음수대 16,2020,126.8946247,37.55518553,R
한강 파고라 49,2020,126.8947577,37.55513835,R
한강 간이체육시설 21,2020,126.8953098,37.55488544,R
한강 놀이터 3,2020,126.8955476,37.55479329,R
한강 파고라 50,2020,126.8954933,37.55496,R
한강 간이체육시설 22,2020,126.8955615,37.55493972,R
한강 쉼터 21,2020,126.9064458,37.54710678,R
한강 화장실 27,2020,126.8955215,37.55521336,R
한강 쉼터 22,2020,126.8957181,37.55477352,R
한강 간이체육시설 23,2020,126.8957488,37.55456372,R
한강 주차장 10,2020,126.8967691,37.55428531,R
한강 쉼터 23,2020,126.9036171,37.54903039,R
한강 파고라 51,2020,126.8998303,37.55226746,R
한강 화장실 28,2020,126.9001928,37.55199972,R
한강 쉼터 24,2020,127.0661835,37.53115282,R
한강 주차장 11,2020,127.0654228,37.53126812,R
한강 화장실 29,2020,127.0632394,37.53144613,R
한강 쉼터 25,2020,127.0642941,37.531164,R
한강 음수대 17,2020,127.0642022,37.53113815,R
한강 계단 39,2020,127.0639453,37.53008974,R
한강 놀이터 4,2020,127.063521,37.53161379,R
한강 간이체육시설 24,2020,127.0638758,37.53148183,R
한강 음수대 18,2020,127.0630301,37.5315003,R
불광천 계단 4,2020,126.9000947,37.56933593,L
홍제천 파고라 1,2020,126.8925976,37.55858055,L
홍제천 보행교 1,2020,126.8922881,37.5587953,L
불광천 징검다리 3,2020,126.8999692,37.57108263,R
홍제천 간이체육시설 1,2020,126.8927466,37.55869722,L
홍제천 계단 2,2020,126.9696446,37.60639427,R
불광천 계단 5,2020,126.9003233,37.57186905,L
홍제천 경사로 1,2020,126.8958942,37.56090912,R
홍제천 비상사다리 1,2020,126.8956589,37.56021627,L
홍제천 경사로 2,2020,126.8981266,37.56182942,R
불광천 징검다리 4,2020,126.9000601,37.57297705,L
불광천 간이체육시설 2,2020,126.9004426,37.57369253,L
홍제천 간이체육시설 2,2020,126.898863,37.56204472,R
홍제천 간이체육시설 3,2020,126.8989051,37.56210514,R
불광천 간이체육시설 3,2020,126.9006247,37.57405421,L
불광천 계단 6,2020,126.9009624,37.57436196,L
홍제천 징검다리 3,2020,126.9008563,37.56251258,L
홍제천 보행교 2,2020,126.8994389,37.56242586,R
불광천 보행교 1,2020,126.9007514,37.57450707,L
홍제천 간이체육시설 4,2020,126.899937,37.562052,L
홍제천 보행교 3,2020,126.9000559,37.56233178,R
홍제천 계단 3,2020,126.9000272,37.56262683,R
홍제천 경사로 3,2020,126.9020787,37.56261391,L
불광천 경사로 2,2020,126.9010133,37.57441494,L
홍제천 간이체육시설 5,2020,126.9012138,37.56297021,R
성내천 보행교 16,2020,127.1336019,37.51624728,R
감이천 보행교 1,2020,127.1337688,37.51626511,L
감이천 계단 1,2020,127.1346291,37.51581589,L
감이천 보행교 2,2020,127.1347352,37.5158901,L
감이천 계단 2,2020,127.1357838,37.51559269,L
감이천 계단 3,2020,127.1358639,37.51555276,L
감이천 보행교 3,2020,127.1360073,37.51563636,L
감이천 계단 4,2020,127.1374047,37.51538435,L
감이천 경사로 1,2020,127.1381197,37.51523676,L
감이천 계단 5,2020,127.1393076,37.51499393,L
감이천 보행교 4,2020,127.1393318,37.5150626,L
성내천 주차장 2,2020,127.1267868,37.52207753,L
청계천 징검다리 1,2020,127.0498677,37.56283207,L
성내천 화장실 3,2020,127.126932,37.52267428,L
성내천 경사로 9,2020,127.1275532,37.52209472,L
성내천 징검다리 1,2020,127.1278331,37.5220336,R
성내천 보행교 6,2020,127.128679,37.52058657,L
성내천 경사로 10,2020,127.1290405,37.51864902,L
성내천 계단 14,2020,127.129798,37.51764583,L
성내천 징검다리 2,2020,127.1296305,37.5180661,R
성내천 계단 15,2020,127.1308255,37.51723091,L
성내천 배드민턴장 1,2020,127.1313621,37.51697105,L
성내천 경사로 7,2020,127.1245969,37.52153475,L
성내천 경사로 8,2020,127.125193,37.52113993,L
성내천 간이체육시설 1,2020,127.131578,37.51689805,L
성내천 보행교 8,2020,127.1318512,37.51690248,L
성내천 주차장 3,2020,127.1318163,37.51663343,L
성내천 경사로 11,2020,127.1317633,37.51678545,L
성내천 계단 16,2020,127.1317166,37.516674,L
성내천 간이체육시설 2,2020,127.1320107,37.51669226,L
성내천 징검다리 3,2020,127.1322357,37.51683335,R
성내천 경사로 12,2020,127.1325332,37.51638364,L
성내천 징검다리 4,2020,127.1334927,37.51607171,L
성내천 계단 17,2020,127.1333822,37.51594232,L
성내천 징검다리 5,2020,127.1336726,37.51558843,L
성내천 계단 18,2020,127.133637,37.51551053,L
성내천 계단 19,2020,127.1343394,37.51421572,L
성내천 계단 20,2020,127.1347327,37.51340615,L
성내천 경사로 13,2020,127.1349958,37.51299563,L
성내천 정자 2,2020,127.1356324,37.51163408,L
성내천 계단 21,2020,127.136092,37.51010748,L
성내천 징검다리 6,2020,127.1362164,37.51011072,L
성내천 정자 3,2020,127.1361198,37.50985517,L
성내천 징검다리 7,2020,127.1364635,37.5075741,R
성내천 경사로 14,2020,127.1363095,37.50767227,L
성내천 계단 22,2020,127.1363136,37.50757203,L
성내천 경사로 15,2020,127.136436,37.50645689,L
성내천 계단 23,2020,127.1364166,37.50591181,L
성내천 경사로 16,2020,127.1364729,37.50536009,L
성내천 보행교 9,2020,127.1366837,37.50507356,R
성내천 계단 24,2020,127.1364824,37.50484811,L
성내천 경사로 17,2020,127.136441,37.50475583,L
성내천 징검다리 8,2020,127.1367711,37.50418935,R
성내천 징검다리 9,2020,127.1365573,37.50418317,L
성내천 계단 25,2020,127.1365557,37.50400492,L
성내천 징검다리 10,2020,127.1368526,37.50313508,L
성내천 경사로 18,2020,127.1366752,37.5031238,L
성내천 보행교 10,2020,127.1369793,37.50208864,L
성내천 계단 26,2020,127.1367979,37.50200879,L
중랑천 자전거 교육장,2022,127.072578,37.606239,L
중랑천 게이트볼 7,2022,127.073033,37.604003,L
중랑천 족구장 7,2022,127.073175,37.603634,L
중랑천 축구장 4,2022,127.073201,37.603341,L
중랑천 쉼터 122,2022,127.073188,37.604019,L
중랑천 쉼터 123,2022,127.072713,37.587352,L
중랑천 체육교실,2022,127.072935,37.587099,L
중랑천 물놀이장 2,2022,127.073053,37.586997,L
중랑천 족구장 8,2022,127.078928,37.57488,L
중랑천 게이트볼 8,2022,127.078982,37.574608,L
중랑천 자전거 교육장2,2022,127.078991,37.574414,L
