학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000030750,대전둔곡초등학교,초등학교,2024-09-01,공립,본교,운영,대전광역시 유성구 둔곡동 261-4,대전광역시 유성구 과학인재4길 10,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2024-08-29,36.45317499,127.3646394,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030751,대전둔곡중학교,중학교,2024-09-01,공립,본교,운영,대전광역시 유성구 둔곡동 261-4,대전광역시 유성구 과학인재4길 10,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,,36.45317499,127.3646394,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000010251,군산동산중학교,중학교,2005-03-02,공립,본교,운영,전북특별자치도 군산시 지곡동 616,전북특별자치도 군산시 동지곡길 100,8321000,전북특별자치도교육청,8342000,전북특별자치도군산교육지원청,2013-11-29,2024-11-08,35.95104691,126.7060117,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030756,하서초등학교,초등학교,1940-04-17,공립,본교,운영,전북특별자치도 부안군 하서면 장신리 72-1,전북특별자치도 부안군 하서면 석불로 68,8321000,전북특별자치도교육청,8462000,전북특별자치도부안교육지원청,2013-11-29,2024-11-08,35.7174742,126.6262485,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030754,금사초등학교,초등학교,1946-06-01,공립,본교,운영,부산광역시 금정구 서동 134-13,부산광역시 금정구 윤산로 279,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2024-11-08,35.22049558,129.1048505,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030758,농소중학교,중학교,1953-05-09,공립,본교,운영,울산광역시 북구 호계동 262-4,울산광역시 북구 동대11길 39,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2024-11-08,35.63129757,129.3545553,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000011762,경남자영고등학교,고등학교,1952-06-01,공립,본교,운영,경상남도 사천시 정동면 화암리 746-1,경상남도 사천시 정동면 옥산로 143,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2013-11-29,2024-11-08,35.07844229,128.1004126,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007637,축동초등학교,초등학교,1928-05-01,공립,본교,운영,경상남도 사천시 축동면 배춘리 714,경상남도 사천시 축동면 운계길 59-20,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2013-11-29,2024-11-08,35.10779206,128.0906241,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007441,천부초등학교,초등학교,1935-12-10,공립,본교,운영,경상북도 울릉군 북면 천부리 694,경상북도 울릉군 북면 천부길 95-3,8750000,경상북도교육청,8981000,경상북도울릉교육지원청,2013-11-29,2024-11-08,37.5366566,130.8715273,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000006498,순천성동초등학교,초등학교,1962-03-02,공립,본교,운영,전라남도 순천시 동외동 78,전라남도 순천시 황금2길 28,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2013-11-29,2024-11-08,34.95433182,127.4866707,2025-03-25,B555223,재단법인한국지방교육행정연구재단
